Year,Month,Date,Brand,Product_Gender,Style_Name,Color,Stock_No,Width,Size,Product_Class,Billing_Name,Pairs
2017,5,05/03/2017,Sofft,F,Belden,Metallic Multi,1101377,M,095,Sh,Shoebuy.Com.Inc.,1
2017,5,05/30/2017,Sofft,F,Belden,Metallic Multi,1101377,M,095,Sh,Vision/Sofftshoe.Com,1
2017,6,06/01/2017,Sofft,F,Belden,Metallic Multi,1101377,M,085,Sh,Vision/Sofftshoe.Com,-1
2017,6,06/09/2017,Sofft,F,Belden,Metallic Multi,1101377,M,080,Sh,Shoebuy.Com.Inc.,-1
2017,6,06/12/2017,Sofft,F,Belden,Metallic Multi,1101377,M,085,Sh,Qvc Inc/Drop Ship,1
2017,6,06/13/2017,Sofft,F,Belden,Gold,1101335,M,100,Sh,Shoebuy.Com.Inc.,2
2017,6,06/19/2017,Sofft,F,Belden,Gold,1101335,M,100,Sh,Shoebuy.Com.Inc.,1
2017,6,06/30/2017,Sofft,F,Belden,Gold,1101335,M,085,Sh,Vision/Sofftshoe.Com,1
2017,7,07/05/2017,Sofft,F,Belden,Gold,1101335,M,095,Sh,Vision/Sofftshoe.Com,1
2017,7,07/18/2017,Sofft,F,Belden,Metallic Multi,1101377,M,075,Sh,Nordstrom,-1
2017,7,07/21/2017,Sofft,F,Belden,Metallic Multi,1101377,M,080,Sh,Nordstrom,1
2017,7,07/25/2017,Sofft,F,Belden,Metallic Multi,1101377,M,085,Sh,Vision/Sofftshoe.Com,1
2017,7,07/26/2017,Sofft,F,Belden,Gold,1101335,M,100,Sh,Dillards Department Store Inc,13
2017,7,07/27/2017,Sofft,F,Belden,Gold,1101335,M,090,Sh,Dillards Department Store Inc,40
2017,8,08/02/2017,Sofft,F,Belden,Black,1101331,M,060,Sh,Nordstrom Direct,1
2017,8,08/02/2017,Sofft,F,Belden,Black,1101331,M,085,Sh,Lansky Bros,1
2017,8,08/02/2017,Sofft,F,Belden,Black,1101331,M,090,Sh,Nordstrom Direct,1
2017,8,08/02/2017,Sofft,F,Belden,Gold,1101335,M,070,Sh,Lansky Bros,1
2017,8,08/02/2017,Sofft,F,Belden,Gold,1101335,M,085,Sh,Lansky Bros,1
2017,8,08/04/2017,Sofft,F,Belden,Black,1101331,M,075,Sh,"Jl Fashions, Llc",1
2017,8,08/04/2017,Sofft,F,Belden,Black,1101331,M,085,Sh,Alex's Fashions,1
2017,8,08/04/2017,Sofft,F,Belden,Black,1101331,M,085,Sh,"Jl Fashions, Llc",1
2017,8,08/04/2017,Sofft,F,Belden,Black,1101331,M,085,Sh,P + F Inc.,2
2017,8,08/04/2017,Sofft,F,Belden,Gold,1101335,M,070,Sh,"Jl Fashions, Llc",1
2017,8,08/04/2017,Sofft,F,Belden,Gold,1101335,M,070,Sh,P + F Inc.,3
2017,8,08/04/2017,Sofft,F,Belden,Gold,1101335,M,080,Sh,"Jl Fashions, Llc",1
2017,8,08/04/2017,Sofft,F,Belden,Gold,1101335,M,085,Sh,"Jl Fashions, Llc",2
2017,8,08/04/2017,Sofft,F,Belden,Gold,1101335,M,095,Sh,"Jl Fashions, Llc",1
2017,8,08/04/2017,Sofft,F,Belden,Gold,1101335,M,110,Sh,Richard's Shoes,1
2017,8,08/21/2017,Sofft,F,Belden,Gold,1101335,M,075,Sh,Lansky Bros,1
2017,8,08/21/2017,Sofft,F,Belden,Gold,1101335,M,095,Sh,Vision/Sofftshoe.Com,1
2017,8,08/24/2017,Sofft,F,Belden,Black,1101331,M,075,Sh,Lansky Bros,1
2017,8,08/25/2017,Sofft,F,Belden,Red,1101332,M,060,Sh,Nordstrom Direct,2
2017,8,08/28/2017,Sofft,F,Belden,Metallic Multi,1101377,M,085,Sh,Vision/Sofftshoe.Com,1
2017,8,08/29/2017,Sofft,F,Belden,Red,1101332,M,085,Sh,Rippe's Shoes,1
2017,8,08/30/2017,Sofft,F,Belden,Gold,1101335,M,090,Sh,Sole Comfort,1
2017,8,08/31/2017,Sofft,F,Belden,Black,1101331,M,085,Sh,Nordstrom,2
2017,8,08/31/2017,Sofft,F,Belden,Gold,1101335,M,095,Sh,Vision/Sofftshoe.Com,-1
2017,9,09/01/2017,Sofft,F,Belden,Black,1101331,M,065,Sh,Nordstrom,2
2017,9,09/05/2017,Sofft,F,Belden,Black,1101331,M,080,Sh,Nordstrom,1
2017,9,09/07/2017,Sofft,F,Belden,Black,1101331,M,065,Sh,Dillards Department Store Inc,40
2017,9,09/07/2017,Sofft,F,Belden,Gold,1101335,M,100,Sh,Goldberg's,1
2017,9,09/07/2017,Sofft,F,Belden,Red,1101332,M,070,Sh,Dillards Department Store Inc,62
2017,9,09/07/2017,Sofft,F,Belden,Red,1101332,M,100,Sh,Dillards Department Store Inc,38
2017,9,09/08/2017,Sofft,F,Belden,Black,1101331,M,065,Sh,"J. Cole,Llc",1
2017,9,09/08/2017,Sofft,F,Belden,Black,1101331,M,085,Sh,"J. Cole,Llc",1
2017,9,09/08/2017,Sofft,F,Belden,Black,1101331,M,095,Sh,"J. Cole,Llc",1
2017,9,09/08/2017,Sofft,F,Belden,Red,1101332,M,070,Sh,"J. Cole,Llc",1
2017,9,09/11/2017,Sofft,F,Belden,Black,1101331,M,065,Sh,Island Sport Llc,1
2017,9,09/11/2017,Sofft,F,Belden,Gold,1101335,M,080,Sh,Vision/Sofftshoe.Com,1
2017,9,09/12/2017,Sofft,F,Belden,Black,1101331,M,065,Sh,Smitten Llc. Dba Smitten Bouti,1
2017,9,09/12/2017,Sofft,F,Belden,Black,1101331,M,070,Sh,Schoozies Birkenstock,1
2017,9,09/12/2017,Sofft,F,Belden,Black,1101331,M,080,Sh,Flynnagin's,1
2017,9,09/12/2017,Sofft,F,Belden,Gold,1101335,M,065,Sh,The Wishing Well Boutique Corp,1
2017,9,09/12/2017,Sofft,F,Belden,Gold,1101335,M,075,Sh,Teri Ann's Inc.,1
2017,9,09/12/2017,Sofft,F,Belden,Gold,1101335,M,075,Sh,The Wishing Well Boutique Corp,1
2017,9,09/12/2017,Sofft,F,Belden,Gold,1101335,M,080,Sh,Flynnagin's,1
2017,9,09/12/2017,Sofft,F,Belden,Gold,1101335,M,085,Sh,Smitten Llc. Dba Smitten Bouti,1
2017,9,09/12/2017,Sofft,F,Belden,Gold,1101335,M,085,Sh,The Wishing Well Boutique Corp,1
2017,9,09/12/2017,Sofft,F,Belden,Gold,1101335,M,090,Sh,It's All About Me Inc,1
2017,9,09/12/2017,Sofft,F,Belden,Red,1101332,M,090,Sh,Schoozies Birkenstock,1
2017,9,09/15/2017,Sofft,F,Belden,Black,1101331,M,085,Sh,Nordstrom,1
2017,5,05/03/2017,Sofft,F,Belden,Metallic Multi,1101377,M,080,Sh,Vision/Sofftshoe.Com,2
2017,5,05/10/2017,Sofft,F,Belden,Metallic Multi,1101377,M,075,Sh,Shoebuy.Com.Inc.,-1
2017,5,05/23/2017,Sofft,F,Belden,Metallic Multi,1101377,M,075,Sh,Nordstrom,-1
2017,5,05/23/2017,Sofft,F,Belden,Metallic Multi,1101377,M,085,Sh,Nordstrom,-1
2017,6,06/06/2017,Sofft,F,Belden,Metallic Multi,1101377,M,090,Sh,Qvc Inc/Drop Ship,1
2017,6,06/13/2017,Sofft,F,Belden,Gold,1101335,M,070,Sh,Shoebuy.Com.Inc.,1
2017,6,06/13/2017,Sofft,F,Belden,Gold,1101335,M,085,Sh,Shoebuy.Com.Inc.,1
2017,6,06/19/2017,Sofft,F,Belden,Gold,1101335,M,075,Sh,Shoebuy.Com.Inc.,1
2017,6,06/29/2017,Sofft,F,Belden,Metallic Multi,1101377,M,080,Sh,Nordstrom,1
2017,7,07/18/2017,Sofft,F,Belden,Metallic Multi,1101377,M,085,Sh,Vision/Sofftshoe.Com,1
2017,7,07/26/2017,Sofft,F,Belden,Black,1101331,M,085,Sh,Shoebuy.Com.Inc.,1
2017,7,07/26/2017,Sofft,F,Belden,Gold,1101335,M,075,Sh,Vernon Powell Shoe Co Inc,2
2017,8,08/01/2017,Sofft,F,Belden,Metallic Multi,1101377,M,100,Sh,Nordstrom,-1
2017,8,08/04/2017,Sofft,F,Belden,Black,1101331,M,060,Sh,P + F Inc.,1
2017,8,08/04/2017,Sofft,F,Belden,Gold,1101335,M,075,Sh,"Jl Fashions, Llc",2
2017,8,08/04/2017,Sofft,F,Belden,Gold,1101335,M,080,Sh,Alex's Fashions,1
2017,8,08/17/2017,Sofft,F,Belden,Gold,1101335,M,075,Sh,Vision/Shoeline.Com,1
2017,8,08/21/2017,Sofft,F,Belden,Gold,1101335,M,065,Sh,"Dannar Ventures, Llc",1
2017,8,08/21/2017,Sofft,F,Belden,Gold,1101335,M,085,Sh,"Dannar Ventures, Llc",1
2017,8,08/25/2017,Sofft,F,Belden,Red,1101332,M,090,Sh,Nordstrom Direct,2
2017,8,08/28/2017,Sofft,F,Belden,Gold,1101335,M,090,Sh,Vision/Shoeline.Com,1
2017,8,08/30/2017,Sofft,F,Belden,Gold,1101335,M,080,Sh,Vision/Sofftshoe.Com,1
2017,9,09/01/2017,Sofft,F,Belden,Black,1101331,M,080,Sh,Duty Free Caribbean Limited,1
2017,9,09/01/2017,Sofft,F,Belden,Black,1101331,M,090,Sh,Dillards Department Store Inc,124
2017,9,09/01/2017,Sofft,F,Belden,Black,1101331,M,100,Sh,Duty Free Caribbean Limited,1
2017,9,09/05/2017,Sofft,F,Belden,Black,1101331,M,065,Sh,Nordstrom,2
2017,9,09/07/2017,Sofft,F,Belden,Black,1101331,M,060,Sh,Nordstrom,2
2017,9,09/07/2017,Sofft,F,Belden,Black,1101331,M,070,Sh,Dillards Department Store Inc,63
2017,9,09/07/2017,Sofft,F,Belden,Gold,1101335,M,085,Sh,Goldberg's,1
2017,9,09/07/2017,Sofft,F,Belden,Red,1101332,M,065,Sh,Dillards Department Store Inc,40
2017,9,09/08/2017,Sofft,F,Belden,Black,1101331,M,080,Sh,"J. Cole,Llc",1
2017,9,09/08/2017,Sofft,F,Belden,Red,1101332,M,090,Sh,"J. Cole,Llc",1
2017,9,09/11/2017,Sofft,F,Belden,Black,1101331,M,090,Sh,Nordstrom,1
2017,9,09/11/2017,Sofft,F,Belden,Black,1101331,M,090,Sh,Vision/Shoeline.Com,1
2017,9,09/11/2017,Sofft,F,Belden,Metallic Multi,1101377,M,080,Sh,Vision/Sofftshoe.Com,1
2017,9,09/12/2017,Sofft,F,Belden,Black,1101331,M,075,Sh,Schoozies Birkenstock,1
2017,9,09/12/2017,Sofft,F,Belden,Gold,1101335,M,060,Sh,Classics + Country Inc,2
2017,9,09/12/2017,Sofft,F,Belden,Gold,1101335,M,065,Sh,Smitten Llc. Dba Smitten Bouti,1
2017,9,09/12/2017,Sofft,F,Belden,Gold,1101335,M,080,Sh,Smitten Llc. Dba Smitten Bouti,1
2017,9,09/12/2017,Sofft,F,Belden,Gold,1101335,M,090,Sh,P + F Inc.,2
2017,9,09/13/2017,Sofft,F,Belden,Red,1101332,M,080,Sh,Nordstrom,1
2017,9,09/14/2017,Sofft,F,Belden,Gold,1101335,M,070,Sh,Vision/Sofftshoe.Com,-1
2017,9,09/20/2017,Sofft,F,Belden,Black,1101331,M,065,Sh,"Jl Fashions, Llc",1
2017,9,09/21/2017,Sofft,F,Belden,Gold,1101335,M,080,Sh,Added Touches By Mary Llc. Dba,2
2017,9,09/21/2017,Sofft,F,Belden,Gold,1101335,M,085,Sh,Added Touches By Mary Llc. Dba,2
2017,9,09/21/2017,Sofft,F,Belden,Gold,1101335,M,095,Sh,Vision/Sofftshoe.Com,-1
2017,9,09/22/2017,Sofft,F,Belden,Black,1101331,M,065,Sh,Vision/Sofftshoe.Com,1
2017,9,09/22/2017,Sofft,F,Belden,Black,1101331,M,075,Sh,Nordstrom,1
2017,9,09/22/2017,Sofft,F,Belden,Black,1101331,M,080,Sh,Nordstrom,3
2017,9,09/22/2017,Sofft,F,Belden,Black,1101331,M,095,Sh,Nordstrom,1
2017,9,09/25/2017,Sofft,F,Belden,Black,1101331,M,065,Sh,The Republic Co Inc,1
2017,9,09/25/2017,Sofft,F,Belden,Black,1101331,M,085,Sh,The Republic Co Inc,3
2017,9,09/25/2017,Sofft,F,Belden,Black,1101331,M,100,Sh,The Republic Co Inc,1
2017,9,09/25/2017,Sofft,F,Belden,Gold,1101335,M,080,Sh,Frazier's Shoe Store,1
2017,9,09/25/2017,Sofft,F,Belden,Gold,1101335,M,090,Sh,The Republic Co Inc,2
2017,9,09/26/2017,Sofft,F,Belden,Black,1101331,M,095,Sh,Shoebuy.Com.Inc.,1
2017,9,09/27/2017,Sofft,F,Belden,Gold,1101335,M,085,Sh,Lansky Bros,1
2017,9,09/28/2017,Sofft,F,Belden,Black,1101331,M,065,Sh,Dillards Department Store Inc,20
2017,9,09/28/2017,Sofft,F,Belden,Red,1101332,M,060,Sh,Dillards Department Store Inc,20
2017,9,09/28/2017,Sofft,F,Belden,Red,1101332,M,090,Sh,Dillards Department Store Inc,46
2017,9,09/29/2017,Sofft,F,Belden,Black,1101331,M,095,Sh,Nordstrom,3
2017,5,05/04/2017,Sofft,F,Belden,Metallic Multi,1101377,M,060,Sh,Nordstrom,1
2017,5,05/05/2017,Sofft,F,Belden,Metallic Multi,1101377,M,080,Sh,Vision/Sofftshoe.Com,1
2017,5,05/24/2017,Sofft,F,Belden,Metallic Multi,1101377,M,080,Sh,Vision/Sofftshoe.Com,1
2017,5,05/31/2017,Sofft,F,Belden,Metallic Multi,1101377,M,075,Sh,Nordstrom,-1
2017,5,05/31/2017,Sofft,F,Belden,Metallic Multi,1101377,M,085,Sh,Nordstrom,1
2017,6,06/20/2017,Sofft,F,Belden,Gold,1101335,M,090,Sh,Shoebuy.Com.Inc.,1
2017,7,07/05/2017,Sofft,F,Belden,Gold,1101335,M,065,Sh,Vision/Sofftshoe.Com,1
2017,7,07/06/2017,Sofft,F,Belden,Metallic Multi,1101377,M,080,Sh,Nordstrom,1
2017,7,07/07/2017,Sofft,F,Belden,Metallic Multi,1101377,M,085,Sh,Qvc Inc/Drop Ship,-1
2017,7,07/10/2017,Sofft,F,Belden,Black,1101331,M,075,Sh,"Multicomercios, Sa",4
2017,7,07/10/2017,Sofft,F,Belden,Metallic Multi,1101377,M,085,Sh,Vision/Sofftshoe.Com,1
2017,7,07/26/2017,Sofft,F,Belden,Gold,1101335,M,060,Sh,Dillards Department Store Inc,13
2017,7,07/27/2017,Sofft,F,Belden,Gold,1101335,M,065,Sh,Dillards Department Store Inc,21
2017,8,08/02/2017,Sofft,F,Belden,Black,1101331,M,070,Sh,Lansky Bros,2
2017,8,08/02/2017,Sofft,F,Belden,Gold,1101335,M,080,Sh,Lansky Bros,2
2017,8,08/02/2017,Sofft,F,Belden,Gold,1101335,M,100,Sh,Lansky Bros,1
2017,8,08/03/2017,Sofft,F,Belden,Gold,1101335,M,085,Sh,Shoebuy.Com.Inc.,-1
2017,8,08/03/2017,Sofft,F,Belden,Metallic Multi,1101377,M,080,Sh,Nordstrom,-1
2017,8,08/03/2017,Sofft,F,Belden,Metallic Multi,1101377,M,080,Sh,Vision/Sofftshoe.Com,1
2017,8,08/04/2017,Sofft,F,Belden,Black,1101331,M,060,Sh,"Jl Fashions, Llc",1
2017,8,08/04/2017,Sofft,F,Belden,Black,1101331,M,065,Sh,P + F Inc.,2
2017,8,08/04/2017,Sofft,F,Belden,Black,1101331,M,075,Sh,P + F Inc.,3
2017,8,08/04/2017,Sofft,F,Belden,Black,1101331,M,080,Sh,P + F Inc.,3
2017,8,08/04/2017,Sofft,F,Belden,Black,1101331,M,100,Sh,Alex's Fashions,1
2017,8,08/04/2017,Sofft,F,Belden,Gold,1101335,M,080,Sh,Richard's Shoes,2
2017,8,08/04/2017,Sofft,F,Belden,Gold,1101335,M,090,Sh,P + F Inc.,2
2017,8,08/07/2017,Sofft,F,Belden,Gold,1101335,M,070,Sh,"Zulily, Llc",1
2017,8,08/09/2017,Sofft,F,Belden,Black,1101331,M,110,Sh,Vision/Shoeline.Com,1
2017,8,08/09/2017,Sofft,F,Belden,Gold,1101335,M,080,Sh,Vision/Sofftshoe.Com,1
2017,8,08/10/2017,Sofft,F,Belden,Gold,1101335,M,095,Sh,Shoebuy.Com.Inc.,-1
2017,8,08/21/2017,Sofft,F,Belden,Gold,1101335,M,060,Sh,"Dannar Ventures, Llc",1
2017,8,08/21/2017,Sofft,F,Belden,Gold,1101335,M,080,Sh,Lansky Bros,1
2017,8,08/24/2017,Sofft,F,Belden,Gold,1101335,M,090,Sh,Vision/Sofftshoe.Com,1
2017,8,08/25/2017,Sofft,F,Belden,Black,1101331,M,060,Sh,Nordstrom Direct,1
2017,8,08/29/2017,Sofft,F,Belden,Metallic Multi,1101377,M,085,Sh,Nordstrom,-1
2017,8,08/30/2017,Sofft,F,Belden,Black,1101331,M,080,Sh,Nordstrom,1
2017,9,09/01/2017,Sofft,F,Belden,Black,1101331,M,085,Sh,Dillards Department Store Inc,212
2017,9,09/01/2017,Sofft,F,Belden,Black,1101331,M,090,Sh,Duty Free Caribbean Limited,1
2017,9,09/01/2017,Sofft,F,Belden,Red,1101332,M,070,Sh,Duty Free Caribbean Limited,1
2017,9,09/05/2017,Sofft,F,Belden,Black,1101331,M,085,Sh,Nordstrom,4
2017,9,09/06/2017,Sofft,F,Belden,Black,1101331,M,060,Sh,Nordstrom,1
2017,9,09/06/2017,Sofft,F,Belden,Gold,1101335,M,075,Sh,Shoebuy.Com.Inc.,2
2017,9,09/07/2017,Sofft,F,Belden,Black,1101331,M,080,Sh,Nordstrom,3
2017,9,09/07/2017,Sofft,F,Belden,Red,1101332,M,060,Sh,Dillards Department Store Inc,38
2017,9,09/08/2017,Sofft,F,Belden,Black,1101331,M,070,Sh,"J. Cole,Llc",1
2017,9,09/08/2017,Sofft,F,Belden,Black,1101331,M,085,Sh,Natalie Shoes Inc / Sarit Shoe,1
2017,9,09/08/2017,Sofft,F,Belden,Red,1101332,M,065,Sh,"J. Cole,Llc",1
2017,9,09/12/2017,Sofft,F,Belden,Black,1101331,M,070,Sh,Nordstrom,1
2017,9,09/12/2017,Sofft,F,Belden,Black,1101331,M,090,Sh,Schoozies Birkenstock,1
2017,9,09/12/2017,Sofft,F,Belden,Gold,1101335,M,075,Sh,P + F Inc.,2
2017,9,09/12/2017,Sofft,F,Belden,Gold,1101335,M,095,Sh,Classics + Country Inc,2
2017,9,09/12/2017,Sofft,F,Belden,Gold,1101335,M,100,Sh,It's All About Me Inc,1
2017,9,09/14/2017,Sofft,F,Belden,Black,1101331,M,080,Sh,Shoebuy.Com.Inc.,1
2017,9,09/14/2017,Sofft,F,Belden,Black,1101331,M,085,Sh,Nordstrom,1
2017,9,09/18/2017,Sofft,F,Belden,Black,1101331,M,070,Sh,Nordstrom,2
2017,9,09/21/2017,Sofft,F,Belden,Black,1101331,M,070,Sh,Nordstrom,1
2017,9,09/22/2017,Sofft,F,Belden,Red,1101332,M,095,Sh,Nordstrom,1
2017,9,09/25/2017,Sofft,F,Belden,Gold,1101335,M,065,Sh,The Republic Co Inc,1
2017,9,09/25/2017,Sofft,F,Belden,Gold,1101335,M,095,Sh,The Republic Co Inc,1
2017,9,09/25/2017,Sofft,F,Belden,Gold,1101335,M,100,Sh,The Republic Co Inc,1
2017,9,09/25/2017,Sofft,F,Belden,Red,1101332,M,065,Sh,The Republic Co Inc,1
2017,10,10/02/2017,Sofft,F,Belden,Black,1101331,M,075,Sh,Dillards Department Store Inc,66
2017,5,05/01/2017,Sofft,F,Belden,Metallic Multi,1101377,M,080,Sh,Vision/Sofftshoe.Com,1
2017,5,05/04/2017,Sofft,F,Belden,Metallic Multi,1101377,M,085,Sh,Nordstrom,1
2017,5,05/05/2017,Sofft,F,Belden,Gold,1101335,M,075,Sh,Dillards Department Store Inc,4
2017,5,05/08/2017,Sofft,F,Belden,Metallic Multi,1101377,M,095,Sh,Vision/Sofftshoe.Com,1
2017,5,05/16/2017,Sofft,F,Belden,Metallic Multi,1101377,M,085,Sh,Shoebuy.Com.Inc.,1
2017,5,05/17/2017,Sofft,F,Belden,Metallic Multi,1101377,M,085,Sh,Vision/Sofftshoe.Com,1
2017,5,05/18/2017,Sofft,F,Belden,Metallic Multi,1101377,M,080,Sh,Qvc Inc/Drop Ship,-1
2017,5,05/31/2017,Sofft,F,Belden,Metallic Multi,1101377,M,070,Sh,Vision/Sofftshoe.Com,1
2017,6,06/14/2017,Sofft,F,Belden,Metallic Multi,1101377,M,085,Sh,Nordstrom,1
2017,6,06/16/2017,Sofft,F,Belden,Metallic Multi,1101377,M,060,Sh,Nordstrom,-1
2017,7,07/06/2017,Sofft,F,Belden,Metallic Multi,1101377,M,080,Sh,Qvc Inc/Drop Ship,1
2017,7,07/10/2017,Sofft,F,Belden,Black,1101331,M,070,Sh,"Multicomercios, Sa",6
2017,7,07/10/2017,Sofft,F,Belden,Metallic Multi,1101377,M,080,Sh,Vision/Shoeline.Com,1
2017,7,07/25/2017,Sofft,F,Belden,Metallic Multi,1101377,M,085,Sh,Nordstrom,2
2017,7,07/26/2017,Sofft,F,Belden,Gold,1101335,M,075,Sh,Dillards Department Store Inc,39
2017,7,07/26/2017,Sofft,F,Belden,Gold,1101335,M,100,Sh,Vernon Powell Shoe Co Inc,1
2017,7,07/27/2017,Sofft,F,Belden,Gold,1101335,M,060,Sh,Dillards Department Store Inc,20
2017,7,07/31/2017,Sofft,F,Belden,Metallic Multi,1101377,M,065,Sh,Nordstrom,-1
2017,7,07/31/2017,Sofft,F,Belden,Metallic Multi,1101377,M,075,Sh,Nordstrom,-1
2017,8,08/02/2017,Sofft,F,Belden,Black,1101331,M,065,Sh,Lansky Bros,1
2017,8,08/02/2017,Sofft,F,Belden,Black,1101331,M,075,Sh,Lansky Bros,1
2017,8,08/02/2017,Sofft,F,Belden,Black,1101331,M,095,Sh,Lansky Bros,1
2017,8,08/02/2017,Sofft,F,Belden,Black,1101331,M,100,Sh,Rippe's Shoes,1
2017,8,08/02/2017,Sofft,F,Belden,Gold,1101335,M,095,Sh,Lansky Bros,1
2017,8,08/04/2017,Sofft,F,Belden,Black,1101331,M,070,Sh,P + F Inc.,2
2017,8,08/04/2017,Sofft,F,Belden,Black,1101331,M,080,Sh,"Jl Fashions, Llc",1
2017,8,08/04/2017,Sofft,F,Belden,Black,1101331,M,100,Sh,P + F Inc.,1
2017,8,08/04/2017,Sofft,F,Belden,Gold,1101335,M,060,Sh,Richard's Shoes,1
2017,8,08/04/2017,Sofft,F,Belden,Gold,1101335,M,075,Sh,Alex's Fashions,1
2017,8,08/04/2017,Sofft,F,Belden,Gold,1101335,M,085,Sh,Alex's Fashions,1
2017,8,08/04/2017,Sofft,F,Belden,Gold,1101335,M,100,Sh,P + F Inc.,1
2017,8,08/11/2017,Sofft,F,Belden,Gold,1101335,M,075,Sh,Vision/Sofftshoe.Com,1
2017,8,08/11/2017,Sofft,F,Belden,Gold,1101335,M,080,Sh,Vision/Sofftshoe.Com,1
2017,8,08/18/2017,Sofft,F,Belden,Gold,1101335,M,065,Sh,Mobley-Mclean Shoe Co,1
2017,8,08/18/2017,Sofft,F,Belden,Gold,1101335,M,085,Sh,Mobley-Mclean Shoe Co,1
2017,8,08/18/2017,Sofft,F,Belden,Gold,1101335,M,095,Sh,Mobley-Mclean Shoe Co,1
2017,8,08/21/2017,Sofft,F,Belden,Gold,1101335,M,080,Sh,"Dannar Ventures, Llc",1
2017,8,08/21/2017,Sofft,F,Belden,Gold,1101335,M,085,Sh,Lansky Bros,1
2017,8,08/24/2017,Sofft,F,Belden,Gold,1101335,M,065,Sh,Lansky Bros,1
2017,8,08/24/2017,Sofft,F,Belden,Gold,1101335,M,085,Sh,Lansky Bros,1
2017,8,08/28/2017,Sofft,F,Belden,Black,1101331,M,085,Sh,Nordstrom,1
2017,8,08/28/2017,Sofft,F,Belden,Gold,1101335,M,110,Sh,Shoebuy.Com.Inc.,-1
2017,9,09/01/2017,Sofft,F,Belden,Black,1101331,M,070,Sh,Dillards Department Store Inc,142
2017,9,09/01/2017,Sofft,F,Belden,Black,1101331,M,070,Sh,Duty Free Caribbean Limited,1
2017,9,09/01/2017,Sofft,F,Belden,Black,1101331,M,090,Sh,Nordstrom,1
2017,9,09/01/2017,Sofft,F,Belden,Gold,1101335,M,100,Sh,Marshall Retail Group Llc,3
2017,9,09/01/2017,Sofft,F,Belden,Red,1101332,M,090,Sh,Dillards Department Store Inc,115
2017,9,09/01/2017,Sofft,F,Belden,Red,1101332,M,090,Sh,Duty Free Caribbean Limited,1
2017,9,09/01/2017,Sofft,F,Belden,Red,1101332,M,100,Sh,Dillards Department Store Inc,113
2017,9,09/06/2017,Sofft,F,Belden,Black,1101331,M,070,Sh,Nordstrom,3
2017,9,09/07/2017,Sofft,F,Belden,Black,1101331,M,075,Sh,Dillards Department Store Inc,75
2017,9,09/07/2017,Sofft,F,Belden,Black,1101331,M,085,Sh,Dillards Department Store Inc,64
2017,9,09/07/2017,Sofft,F,Belden,Black,1101331,M,095,Sh,Dillards Department Store Inc,38
2017,9,09/11/2017,Sofft,F,Belden,Black,1101331,M,075,Sh,Island Sport Llc,2
2017,9,09/12/2017,Sofft,F,Belden,Black,1101331,M,075,Sh,Smitten Llc. Dba Smitten Bouti,1
2017,9,09/12/2017,Sofft,F,Belden,Black,1101331,M,085,Sh,Smitten Llc. Dba Smitten Bouti,1
2017,9,09/12/2017,Sofft,F,Belden,Gold,1101335,M,070,Sh,Smitten Llc. Dba Smitten Bouti,1
2017,9,09/12/2017,Sofft,F,Belden,Gold,1101335,M,075,Sh,Smitten Llc. Dba Smitten Bouti,1
2017,9,09/12/2017,Sofft,F,Belden,Gold,1101335,M,080,Sh,Vernon Powell Shoe Co Inc,2
2017,9,09/12/2017,Sofft,F,Belden,Gold,1101335,M,085,Sh,Flynnagin's,1
2017,9,09/12/2017,Sofft,F,Belden,Gold,1101335,M,100,Sh,Classics + Country Inc,2
2017,5,05/01/2017,Sofft,F,Belden,Metallic Multi,1101377,M,085,Sh,Nordstrom,2
2017,5,05/04/2017,Sofft,F,Belden,Metallic Multi,1101377,M,080,Sh,Vision/Sofftshoe.Com,-1
2017,5,05/05/2017,Sofft,F,Belden,Gold,1101335,M,080,Sh,Dillards Department Store Inc,4
2017,5,05/05/2017,Sofft,F,Belden,Gold,1101335,M,095,Sh,Dillards Department Store Inc,3
2017,5,05/11/2017,Sofft,F,Belden,Metallic Multi,1101377,M,075,Sh,Vision/Sofftshoe.Com,-1
2017,5,05/11/2017,Sofft,F,Belden,Metallic Multi,1101377,M,085,Sh,Nordstrom,-2
2017,5,05/19/2017,Sofft,F,Belden,Metallic Multi,1101377,M,090,Sh,Nordstrom,-1
2017,5,05/22/2017,Sofft,F,Belden,Metallic Multi,1101377,M,090,Sh,Vision/Sofftshoe.Com,1
2017,5,05/30/2017,Sofft,F,Belden,Metallic Multi,1101377,M,080,Sh,Nordstrom,2
2017,5,05/30/2017,Sofft,F,Belden,Metallic Multi,1101377,M,085,Sh,Nordstrom,1
2017,5,05/31/2017,Sofft,F,Belden,Gold,1101335,M,075,Sh,Shoebuy.Com.Inc.,-1
2017,6,06/08/2017,Sofft,F,Belden,Metallic Multi,1101377,M,085,Sh,Nordstrom,-1
2017,6,06/27/2017,Sofft,F,Belden,Metallic Multi,1101377,M,085,Sh,Nordstrom,-1
2017,6,06/30/2017,Sofft,F,Belden,Metallic Multi,1101377,M,075,Sh,Nordstrom,1
2017,7,07/17/2017,Sofft,F,Belden,Gold,1101335,M,075,Sh,Vision/Sofftshoe.Com,1
2017,7,07/18/2017,Sofft,F,Belden,Metallic Multi,1101377,M,080,Sh,Nordstrom,1
2017,7,07/21/2017,Sofft,F,Belden,Gold,1101335,M,085,Sh,Vision/Sofftshoe.Com,1
